name,att1,att2,att3,att4,att5,att6,is_train,target,prediction
1642,1.0,1.0,1.0,190.5388614,1.87703213,8102.43447635,1,8,
1605,2.0,0.0,2.0,136.7328614,1.28643582,2217.58209484,1,8,
1020,0.0,2.0,0.0,180.0928614,2.03702507,9605.4689837,1,5,
1797,2.0,0.0,2.0,134.4318614,1.29692309,2001.01414458,1,8,
534,0.0,2.0,0.0,200.8508614,2.00948701,11787.39727284,1,2,
1697,2.0,0.0,2.0,137.9308614,1.40038634,2457.48655277,1,8,
585,0.0,2.0,0.0,193.1028614,2.02728673,10775.34359756,1,2,
1114,0.0,3.0,1.0,217.2908614,2.13149233,17242.28532849,1,5,
1103,0.0,3.0,1.0,198.9088614,2.01168233,13538.297111,1,5,
986,0.0,3.0,1.0,174.2788614,1.98406363,9116.31395407,1,4,
1532,0.0,2.0,0.0,154.7868614,1.72464672,5859.66736356,1,7,
809,0.0,3.0,1.0,153.3308614,1.72464344,7442.69212261,1,4,
743,0.0,2.0,0.0,145.9128614,1.65574863,5204.76575551,1,3,
358,0.0,2.0,0.0,127.5528614,1.2818056,2914.5351922,1,1,
191,1.0,0.0,0.0,133.4648614,1.24739161,1628.79946076,1,0,
1636,2.0,0.0,2.0,132.0758614,1.34355469,1913.77602427,1,8,
1092,0.0,3.0,1.0,196.4018614,2.01903189,12940.92032898,1,5,
1705,2.0,0.0,2.0,125.5928614,1.28010513,2104.69711966,1,8,
326,0.0,2.0,0.0,134.5978614,1.32594742,3491.2016949,1,1,
395,0.0,2.0,0.0,130.8188614,1.32990332,2834.45602432,1,1,
469,0.0,2.0,0.0,176.2728614,1.64029804,8604.06558128,1,2,
857,0.0,2.0,0.0,152.6548614,1.72390533,5971.70651707,1,4,
278,0.0,3.0,1.0,131.1748614,1.30421065,3276.90180443,1,1,
493,0.0,2.0,0.0,189.0988614,1.98250686,10099.49577569,1,2,
694,0.0,3.0,1.0,171.2688614,1.82479663,7661.91110379,1,3,
632,0.0,2.0,0.0,192.6308614,1.87939383,11076.0264965,1,3,
1855,1.0,1.0,1.0,137.0388614,1.37888338,3360.46849403,1,9,
1266,1.0,1.0,1.0,138.8988614,1.39582395,3744.70528068,1,6,
1528,0.0,2.0,0.0,163.3548614,1.9560531,6661.61223594,1,7,
850,0.0,3.0,1.0,155.2488614,1.75039605,6838.1535739,1,4,
989,0.0,2.0,0.0,160.7248614,1.80924885,6880.07858987,1,4,
1641,2.0,0.0,2.0,125.3928614,1.22338948,1671.22864523,1,8,
57,1.0,0.0,0.0,133.2828614,1.29113439,1777.04654451,1,0,
1812,1.0,1.0,1.0,145.4828614,1.59626934,4437.11299763,1,9,
940,0.0,3.0,1.0,149.6758614,1.73242169,5827.96989315,1,4,
1608,2.0,0.0,2.0,126.0638614,1.2799029,1997.84021217,1,8,
1040,0.0,3.0,1.0,215.3148614,2.16100379,15196.92998964,1,5,
27,1.0,0.0,0.0,134.5068614,1.3629774,1745.60012462,1,0,
1222,1.0,1.0,1.0,135.5748614,1.4373337,4073.64498836,1,6,
589,0.0,2.0,0.0,184.9648614,1.77204502,9752.96041273,1,2,
1754,2.0,0.0,2.0,125.8318614,1.25420761,1852.24155057,1,8,
84,1.0,0.0,0.0,131.8028614,1.30882969,1766.95970468,1,0,
0,1.0,0.0,0.0,133.1508614,1.31169276,1620.22177892,1,0,
1570,0.0,2.0,0.0,159.1688614,1.80471178,6686.46814814,1,7,
867,0.0,5.0,1.0,99.5088614,1.5499579,3579.87140209,1,4,
1706,2.0,0.0,2.0,135.0528614,1.26501366,2251.76189391,1,8,
1488,0.0,2.0,0.0,151.7008614,1.72422032,5305.9176856,1,7,
371,0.0,2.0,0.0,163.2208614,1.70066489,6735.6870443,1,1,
168,1.0,0.0,0.0,129.8918614,1.28666824,1782.85422809,1,0,
1736,2.0,0.0,2.0,138.2788614,1.36387388,2915.48517206,1,8,
1831,1.0,1.0,1.0,133.6228614,1.33687952,3103.29714343,1,9,
1047,0.0,3.0,1.0,194.4748614,2.00188244,12748.97861102,1,5,
1941,1.0,1.0,1.0,130.9268614,1.23732838,2435.214416,1,9,
845,0.0,3.0,1.0,157.1768614,1.75953057,7474.7980218,1,4,
1445,0.0,2.0,0.0,150.0388614,1.66655239,5114.15176851,1,7,
618,0.0,3.0,1.0,187.3628614,2.07630464,11248.09034878,1,3,
1837,1.0,1.0,1.0,138.0888614,1.46502154,3653.94389523,1,9,
1141,0.0,2.0,0.0,185.4128614,1.93984808,11749.992101,1,5,
433,0.0,2.0,0.0,189.1008614,2.09556469,10524.65185024,1,2,
88,1.0,0.0,0.0,125.6008614,1.16434637,1497.75330166,1,0,
1291,1.0,1.0,1.0,140.4948614,1.44622392,3752.24638582,1,6,
1938,1.0,1.0,1.0,142.0988614,1.50649966,3962.68766034,1,9,
740,0.0,3.0,1.0,187.0488614,2.02197872,11459.15405952,1,3,
1886,1.0,1.0,1.0,154.8848614,1.45157654,4985.37701844,1,9,
1955,1.0,1.0,1.0,134.5988614,1.52122142,3870.75302081,1,9,
1031,0.0,3.0,1.0,210.4688614,2.02575229,15197.64923595,1,5,
1117,0.0,3.0,1.0,214.7368614,2.12449834,15319.35065207,1,5,
723,0.0,3.0,1.0,174.0568614,1.85715276,8846.74426293,1,3,
368,0.0,3.0,1.0,152.2468614,1.53680194,5779.45677507,1,1,
836,0.0,2.0,0.0,168.2008614,1.8076472,8384.33337408,1,4,
523,0.0,2.0,0.0,189.6788614,1.98858756,10490.34366831,1,2,
1771,2.0,0.0,2.0,138.9728614,1.30896745,2188.83193278,1,8,
1678,2.0,0.0,2.0,126.9808614,1.28094346,1651.01799303,1,8,
1427,0.0,2.0,0.0,162.8988614,1.84999492,6739.80739253,1,7,
1651,2.0,0.0,2.0,140.5528614,1.3136376,2327.40731923,1,8,
243,0.0,2.0,0.0,144.1498614,1.28783943,2574.88044094,1,1,
675,0.0,3.0,1.0,183.6488614,1.98961232,9150.22411603,1,3,
125,1.0,0.0,0.0,132.5968614,1.37410275,1632.04728114,1,0,
1265,1.0,1.0,1.0,136.2948614,1.45423959,3827.67298269,1,6,
1649,2.0,0.0,2.0,139.7008614,1.31509154,2066.56468888,1,8,
251,0.0,2.0,0.0,130.1398614,1.16854874,1942.05881701,1,1,
874,0.0,2.0,0.0,133.7888614,1.33020044,3193.35524586,1,4,
53,1.0,0.0,0.0,128.1228614,1.23895895,1508.24928604,1,0,
813,0.0,3.0,1.0,169.7128614,1.86212613,9081.4112201,1,4,
1307,1.0,1.0,1.0,146.0028614,1.66759858,4613.04315518,1,6,
393,0.0,2.0,0.0,133.3158614,1.26488417,2606.86495061,1,1,
412,0.0,2.0,0.0,161.7668614,1.72849544,7201.99575131,1,2,
190,1.0,0.0,0.0,127.1388614,1.19219994,1613.15094017,1,0,
1032,0.0,2.0,0.0,166.4908614,1.63317496,6421.12134914,1,5,
992,0.0,3.0,1.0,143.6048614,1.57447299,5483.12744176,1,4,
127,1.0,0.0,0.0,128.7428614,1.29212545,1698.45440055,1,0,
1195,0.0,2.0,0.0,169.6068614,1.71643743,9130.22574687,1,5,
969,0.0,3.0,1.0,150.0888614,1.72276112,6256.09689413,1,4,
1412,0.0,2.0,0.0,160.1868614,1.68993087,5803.08375367,1,7,
520,0.0,2.0,0.0,176.7768614,1.8781312,8604.72617511,1,2,
1388,1.0,1.0,1.0,137.9308614,1.35301858,3194.79834919,1,6,
551,0.0,2.0,0.0,199.5868614,2.19656638,12487.67305285,1,2,
630,0.0,3.0,1.0,174.8668614,1.87656477,8755.62620081,1,3,
816,0.0,3.0,1.0,146.3508614,1.69251243,7045.28570481,1,4,
417,0.0,2.0,0.0,189.5048614,2.14520906,10719.73332391,1,2,
403,0.0,2.0,0.0,184.7248614,1.74672853,9651.52975628,1,2,
717,0.0,2.0,0.0,181.8048614,1.92881624,9139.95863149,1,3,
1050,0.0,2.0,0.0,192.5568614,1.92167826,11324.82093234,1,5,
924,0.0,3.0,1.0,152.8088614,1.70794504,6332.25928752,1,4,
1308,1.0,1.0,1.0,138.5028614,1.44410334,3744.57949444,1,6,
908,0.0,3.0,1.0,177.3718614,1.95207773,10193.53626548,1,4,
