name,GLCM_Pan,Mean_G,Mean_R,Mean_NIR,SD_Plan,is_train,target,prediction
3721,123.292093,230.982906,110.74359,648.128205,31.529934,1,0,
2298,131.154286,186.030303,76.80303,323.515152,18.762666,1,0,
110,130.76656200000002,217.0,97.4,648.4,24.676862,1,0,
2929,127.32608700000002,177.41975300000001,77.82715999999999,276.444444,21.620241,1,0,
1317,153.375,208.5,96.75,499.25,19.868316,1,0,
3864,121.08836299999999,426.68783099999996,304.216931,360.179894,24.990336,1,0,
1545,122.871528,240.611111,110.11111100000001,704.611111,20.232598,1,0,
3902,122.3125,227.142857,104.761905,635.690476,27.921507000000002,1,0,
1527,144.11842099999998,226.947368,100.47368399999999,647.578947,19.215068,1,0,
1023,120.233957,311.53191499999997,201.680851,433.340426,38.814296,1,0,
203,148.9125,181.0,78.2,451.4,18.655026,1,0,
905,146.765306,243.68421099999998,147.94736799999998,252.473684,12.801489,1,0,
1408,114.703065,228.90909100000002,102.787879,579.484849,19.233713,1,0,
3512,120.707237,380.94736800000004,296.421053,443.947368,27.759453000000004,1,0,
3306,110.681102,209.6875,89.5625,541.8125,32.568917,1,0,
3563,138.035197,211.725275,98.692308,407.28571400000004,27.347725,1,0,
1891,115.960094,234.518519,103.296296,644.888889,42.320775,1,0,
3657,127.76157099999999,200.651852,87.38518499999999,506.58518499999997,27.739306,1,0,
2883,126.593276,204.603448,91.413793,401.293103,24.387119000000002,1,0,
556,115.44703799999999,225.485714,99.228571,709.7428570000001,28.951528999999997,1,0,
1128,87.3125,199.5,88.0,546.0,7.968689,1,0,
4098,126.41221399999999,260.767956,141.287293,442.35911600000003,40.569337,1,0,
4826,128.181522,244.68041200000002,140.237113,414.608247,23.704575,1,0,
829,120.625,438.0,268.0,461.0,31.613921,1,0,
1389,131.020896,231.26190499999998,108.142857,606.761905,26.084863000000002,1,0,
244,112.45,246.2,114.0,699.6,25.895173,1,0,
3807,137.783379,228.5,106.913044,514.804348,31.802141,1,0,
806,135.31746,215.416667,97.083333,366.833333,14.761766,1,0,
3712,126.463415,195.0,85.25,86.5,7.327175,1,0,
70,127.21881200000001,190.314961,110.10236200000001,383.39370099999996,19.666454,1,1,
1320,127.892857,222.857143,104.42857099999999,712.142857,15.106425,1,0,
1296,93.218391,218.63636400000001,101.818182,739.2727269999999,6.863486,1,0,
2232,128.384863,201.589744,88.87179499999999,502.179487,18.730449,1,0,
777,136.476923,233.34146299999998,114.829268,430.53658499999995,14.703171,1,0,
3328,137.278646,209.666667,91.166667,495.666667,35.702766,1,0,
3501,136.476923,233.34146299999998,114.829268,430.53658499999995,14.703171,1,0,
3781,146.23076899999998,214.153846,99.153846,509.153846,20.54091,1,0,
1628,140.710227,225.09090899999998,100.272727,672.7272730000001,18.776194,1,0,
321,106.942935,252.47826099999997,114.08695700000001,792.2608700000001,14.375729999999999,1,0,
